iter	Passed	Remaining
964	6377	231
965	6384	224
966	6389	218
967	6394	211
968	6405	204
969	6410	198
970	6416	191
971	6421	184
972	6426	178
973	6434	171
974	6439	165
975	6444	158
976	6451	151
977	6456	145
978	6464	138
979	6469	132
980	6474	125
981	6481	118
982	6498	112
983	6503	105
984	6508	99
985	6514	92
986	6517	85
987	6520	79
988	6525	72
989	6532	65
990	6539	59
991	6546	52
992	6551	46
993	6556	39
994	6562	32
995	6567	26
996	6578	19
997	6583	13
998	6588	6
999	6595	0
